,,loc,scale,kappa,df,dist
-0.001,0.1,-0.00011625165710738716,0.03438323822429147,0.6036998501800052,,al
0.1,0.3,-0.04580877072293167,0.10818483945312392,0.643544237011662,,al
0.3,0.7,0.015472147699109913,0.17556647000961773,,11.150488007085713,t
0.7,0.9,0.07771053997629973,0.10581753524466683,1.6816193865835385,,al
0.9,0.99,0.02302422019848737,0.04174291229198726,1.9354719304310923,,al
0.99,1.0,1.4829967380125997e-06,0.0063110602544872866,2.23750187345364,,al
